"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"281",12,"Michael Penix Jr.",ATL,"QB32","11","2 out of 5","5 out of 5","4 out of 5 stars","-1"
"282",12,"San Francisco 49ers",SF,"DST18","8","-","-","3 out of 5 stars","-60"
"283",12,"Malik Davis",DAL,"RB81","14","-","-","4 out of 5 stars","+107"
"284",12,"Brandon Aiyuk",SF,"WR101","8","2 out of 5","5 out of 5","2 out of 5 stars","-27"
"285",12,"Oscar Delp",NO,"TE36","8","4 out of 5","4 out of 5","2 out of 5 stars","+215"
"286",12,"Emari Demercado",KC,"RB82","5","1 out of 5","5 out of 5","3 out of 5 stars","+66"
"287",12,"Shedeur Sanders",CLE,"QB33","11","3 out of 5","4 out of 5","4 out of 5 stars","-32"
"288",12,"Kaleb Johnson",PIT,"RB83","9","2 out of 5","5 out of 5","2 out of 5 stars","+14"
"289",12,"Deshaun Watson",CLE,"QB34","11","1 out of 5","5 out of 5","4 out of 5 stars","+11"
"290",12,"Kirk Cousins",LV,"QB35","13","2 out of 5","4 out of 5","1 out of 5 stars","+17"
"291",12,"Keenan Allen",LAC,"WR102","7","2 out of 5","4 out of 5","2 out of 5 stars","-47"
"292",12,"Devin Neal",NO,"RB84","8","2 out of 5","4 out of 5","3 out of 5 stars","-2"
"293",12,"Brashard Smith",KC,"RB85","5","-","-","3 out of 5 stars","+13"
"294",12,"Devin Singletary",NYG,"RB86","8","-","-","4 out of 5 stars","+11"
"295",12,"Hollywood Brown",PHI,"WR103","10","-","-","4 out of 5 stars","+29"
"296",12,"Kyle Williams",NE,"WR104","11","-","-","2 out of 5 stars","-27"
"297",12,"Mike Gesicki",CIN,"TE37","6","-","-","3 out of 5 stars","+41"
"298",12,"Kendre Miller",NO,"RB87","8","2 out of 5","4 out of 5","3 out of 5 stars","+45"
"299",12,"Adam Randall",BAL,"RB88","13","4 out of 5","4 out of 5","3 out of 5 stars","+206"
"300",12,"Mack Hollins",NE,"WR105","11","-","-","2 out of 5 stars","+37"
"301",13,"Isaiah Bond",CLE,"WR106","11","-","-","3 out of 5 stars","+93"
"302",13,"Skyler Bell",BUF,"WR107","7","-","-","4 out of 5 stars","+24"
"303",13,"Seth McGowan",IND,"RB89","13","3 out of 5","4 out of 5","4 out of 5 stars","-"
"304",13,"Caleb Douglas",MIA,"WR108","6","-","-","3 out of 5 stars","-23"
"305",13,"Jerome Ford",WAS,"RB90","7","-","-","4 out of 5 stars","+239"
"306",13,"Tyreek Hill",FA,"WR109","-","1 out of 5","5 out of 5","-","-115"
"307",13,"New Orleans Saints",NO,"DST19","8","-","-","5 out of 5 stars","-88"
"308",13,"Najee Harris",LAC,"RB91","7","1 out of 5","5 out of 5","3 out of 5 stars","+24"
"309",13,"Tahj Brooks",CIN,"RB92","6","-","-","2 out of 5 stars","+178"
"310",13,"Jarquez Hunter",LAR,"RB93","11","-","-","5 out of 5 stars","+60"
"311",13,"Indianapolis Colts",IND,"DST20","13","-","-","5 out of 5 stars","-53"
"312",13,"Jake Tonges",SF,"TE38","8","-","-","3 out of 5 stars","-48"
"313",13,"Trevor Etienne",CAR,"RB94","5","-","-","1 out of 5 stars","+184"
"314",13,"Charlie Smyth",NO,"K18","8","-","-","5 out of 5 stars","+93"
"315",13,"Isaac Guerendo",SF,"RB95","8","-","-","2 out of 5 stars","-"
"316",13,"Cyrus Allen",KC,"WR110","5","-","-","2 out of 5 stars","-88"
"317",13,"Andrei Iosivas",CIN,"WR111","6","-","-","4 out of 5 stars","+63"
"318",13,"Jaleel McLaughlin",DEN,"RB96","10","-","-","2 out of 5 stars","-"
"319",13,"Chicago Bears",CHI,"DST21","10","-","-","2 out of 5 stars","-95"
"320",13,"Audric Estime",NO,"RB97","8","-","-","3 out of 5 stars","+41"
"321",13,"Darnell Washington",PIT,"TE39","9","-","-","2 out of 5 stars","-35"
"322",13,"Will Shipley",PHI,"RB98","10","-","-","4 out of 5 stars","+152"
"323",13,"Jalen Tolbert",MIA,"WR112","6","-","-","3 out of 5 stars","-27"
"324",13,"Kareem Hunt",FA,"RB99","-","-","-","-","-4"
"325",13,"Elijah Arroyo",SEA,"TE40","11","-","-","3 out of 5 stars","-10"
"326",13,"Chris Brazzell II",CAR,"WR113","5","-","-","2 out of 5 stars","+211"
"327",13,"J.J. McCarthy",MIN,"QB36","6","-","-","5 out of 5 stars","-66"
"328",13,"Luke McCaffrey",WAS,"WR114","7","-","-","2 out of 5 stars","+8"
"329",13,"Joe Mixon",FA,"RB100","-","-","-","-","-16"
"330",13,"Cedric Tillman",CLE,"WR115","11","-","-","3 out of 5 stars","+155"
"331",13,"Michael Mayer",LV,"TE41","13","-","-","3 out of 5 stars","+74"
"332",13,"Jahan Dotson",ATL,"WR116","11","-","-","3 out of 5 stars","+88"
"333",13,"Tez Johnson",TB,"WR117","10","-","-","4 out of 5 stars","+239"
"334",13,"Tyler Higbee",LAR,"TE42","11","-","-","4 out of 5 stars","-7"
"335",13,"Calvin Austin III",NYG,"WR118","8","-","-","4 out of 5 stars","+57"
"336",13,"Max Klare",LAR,"TE43","11","-","-","4 out of 5 stars","+46"
"337",13,"Cole Kmet",CHI,"TE44","10","-","-","2 out of 5 stars","-43"
"338",13,"Konata Mumpfield",LAR,"WR119","11","-","-","1 out of 5 stars","+84"
"339",13,"Jalen Royals",KC,"WR120","5","-","-","2 out of 5 stars","+234"
"340",13,"DeMario Douglas",NE,"WR121","11","-","-","2 out of 5 stars","+8"
"341",13,"Olamide Zaccheaus",ATL,"WR122","11","-","-","3 out of 5 stars","+135"
"342",13,"Ja'Tavion Sanders",CAR,"TE45","5","-","-","2 out of 5 stars","+166"
"343",13,"Carson Beck",ARI,"QB37","14","-","-","2 out of 5 stars","-56"
"344",13,"Noah Gray",KC,"TE46","5","-","-","4 out of 5 stars","+21"
"345",14,"Mac Jones",SF,"QB38","8","-","-","1 out of 5 stars","-22"
"346",14,"Joshua Palmer",BUF,"WR123","7","-","-","4 out of 5 stars","-6"
"347",14,"Bam Knight",ARI,"RB101","14","-","-","2 out of 5 stars","-"
"348",14,"Dawson Knox",BUF,"TE47","7","-","-","3 out of 5 stars","-26"
"349",14,"Carolina Panthers",CAR,"DST22","5","-","-","3 out of 5 stars","-87"
"350",14,"Eli Heidenreich",PIT,"RB102","9","-","-","2 out of 5 stars","+157"
